,Date,Ticker,Dividend,Stock Price,Dividend Yield (%)
9697,2015-05-27 00:00:00-04:00,BTE,0.08,,
9698,2015-05-27 00:00:00-04:00,PVL,0.024,,
9699,2015-05-27 00:00:00-04:00,PSEC,0.083,,
9700,2015-05-27 00:00:00-04:00,RIG,0.15,,
9701,2015-05-28 00:00:00-04:00,FF,0.06,,
9702,2015-05-28 00:00:00-04:00,BGFV,0.1,,
9703,2015-05-28 00:00:00-04:00,TV,0.115,,
9704,2015-05-28 00:00:00-04:00,HHS,0.85,,
9705,2015-05-29 00:00:00-04:00,LUMN,0.54,,
9706,2015-05-29 00:00:00-04:00,RMCF,0.12,,
9707,2015-06-02 00:00:00-04:00,BBD,0.004132,,
9708,2015-06-02 00:00:00-04:00,BBDO,0.005,,
9709,2015-06-02 00:00:00-04:00,ABEV,0.033,,
9710,2015-06-03 00:00:00-04:00,KIRK,1.5,,
9711,2015-06-03 00:00:00-04:00,NNBR,0.07,,
9712,2015-06-04 00:00:00-04:00,CATO,0.3,,
9713,2015-06-04 00:00:00-04:00,AMC,2.0,,
9714,2015-06-04 00:00:00-04:00,OXBR,0.12,,
9715,2015-06-05 00:00:00-04:00,CIK,0.022,,
9716,2015-06-05 00:00:00-04:00,TRIB,1.1,,
9717,2015-06-08 00:00:00-04:00,GSM,0.08,,
9718,2015-06-09 00:00:00-04:00,PHK,0.122,,
9719,2015-06-09 00:00:00-04:00,DHF,0.029,,
9720,2015-06-09 00:00:00-04:00,GORO,0.01,,
9721,2015-06-09 00:00:00-04:00,VVR,0.026,,
9722,2015-06-10 00:00:00-04:00,EDUC,0.04,,
9723,2015-06-10 00:00:00-04:00,CRWS,0.08,,
9724,2015-06-11 00:00:00-04:00,GROW,0.005,,
9725,2015-06-11 00:00:00-04:00,JRVR,0.16,,
9726,2015-06-11 00:00:00-04:00,LFT,0.125,,
9727,2015-06-11 00:00:00-04:00,SOHO,0.075,,
9728,2015-06-11 00:00:00-04:00,SUNE,96000.0,,
9729,2015-06-11 00:00:00-04:00,EVC,0.025,,
9730,2015-06-11 00:00:00-04:00,EPM,0.05,,
9731,2015-06-11 00:00:00-04:00,EDF,0.18,,
9732,2015-06-12 00:00:00-04:00,OXSQ,0.29,,
9733,2015-06-12 00:00:00-04:00,DHY,0.024,,
9734,2015-06-12 00:00:00-04:00,GCV,0.12,,
9735,2015-06-12 00:00:00-04:00,OXLC,0.6,,
9736,2015-06-12 00:00:00-04:00,RYAM,0.07,,
9737,2015-06-12 00:00:00-04:00,GGN,0.07,,
9738,2015-06-16 00:00:00-04:00,MIN,0.037,,
9739,2015-06-16 00:00:00-04:00,MMT,0.048,,
9740,2015-06-16 00:00:00-04:00,MGF,0.036,,
9741,2015-06-16 00:00:00-04:00,CXE,0.026,,
9742,2015-06-16 00:00:00-04:00,CMU,0.023,,
9743,2015-06-16 00:00:00-04:00,CIF,0.024,,
9744,2015-06-16 00:00:00-04:00,ICMB,0.344588,,
9745,2015-06-17 00:00:00-04:00,HIO,0.036,,
9746,2015-06-17 00:00:00-04:00,DBI,0.2,,
9747,2015-06-17 00:00:00-04:00,SABR,0.09,,
9748,2015-06-17 00:00:00-04:00,HPP,0.125,,
9749,2015-06-17 00:00:00-04:00,HIX,0.069,,
